제목,언론사,검색결과 날짜,발행일,요약,본문,링크,이메일,전화번호
"여주도시공사, CEO의지 표명을 담은 인권헌장 선포식 개최",서울와이어,서울와이어,발행일 추출 실패,"헌장에는 ▲인간으로서의 존엄과 가치를 최우선 ▲UN세계인권선언을 비록한 국내 및 국제법 준수 ▲성별, 학력, 사회적 신분, 출생지역 등 차별금지 ▲강제노동과 아동노동 금지 및 아동권리 존중 ▲이해관계자의 인권보호 및 협력사의 인권침해 금지 ▲성희롱 및 금지 ▲정책과 활동에 대한...",본문 추출 실패,http://www.seoulwire.com/news/articleView.html?idxno=645309,,
[단독] '리베이트' 공익 신고하자 따돌림…교수 '투명 인간' 취급한 병원,JTBC언론사 선정,JTBC언론사 선정,발행일 추출 실패,"한 대학 병원의 교수가 전공의들의 리베이트 문제를 제기한 후 직장 내 괴롭힘을 당한 것으로 나타났습니다. 해당 교수는 노동부가 병원장과 대학 측에 과태료까지 부과했지만 달라진 건 없었다고 호소하는데, 송승환 기자입니다. [기자] 지난 2021년, 상계백병원의 A교수는 일부 전공의가 불필요한 비타민을...",본문 추출 실패,https://news.jtbc.co.kr/article/NB12241122?influxDiv=NAVER,,
"게임물관리위원회, 부산시광역시인권센터와 인권경영 협약 체결",이뉴스투데이,이뉴스투데이,발행일 추출 실패,"이번 협약은 인권경영 및 교육의 활성화, 직장 내 괴롭힘 및 성평등 고충상담, 그리고 인권 향상을 위한 정책 제안 및 연구, 기타 상호 발전과 업무협력 등을 포함한다. 협약식 이후에는 '영화로 만나는 인권 감수성'이라는 주제로 교육을 직원대상으로 진행되고 이를 통해 직원들의 인권 감수성을 높이고, 인권에...",본문 추출 실패,http://www.enewstoday.co.kr/news/articleView.html?idxno=2258730,,
수원시 '공직자 인권교육' 눈길,기호일보,기호일보,발행일 추출 실패,"공무직 인권감수성 과정은 5월 23일 '공무직을 위한 직장 내 괴롭힘 예방교육'(신하나 변호사, 직장갑질119 운영위원)을 주제로 강의한다. '사이버 인권감수성 과정'은 11월까지 경기도인재개발원 E-HRD, 국가인권위원회 나라배움터에서 언제든지 수강할 수 있다. 시 관계자는 ""수원시는 '모든 공무원 연 4시간...",본문 추출 실패,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1138682,,
"청주시, 문화가 흐르는 청렴 교육 진행",동양일보,동양일보,발행일 추출 실패,"특히 경찰 출신 김정환 청렴전문강사는 특강을 통해 공무원 범죄와 3대 비위(갑질, 직장 내 괴롭힘, 성비위) 등에 대해 집중 교육했다. 시 관계자는 ""공연 형식의 청렴 교육과 공무원 범죄, 3대 비위 행위 근절에 대한 특강을 통해 직원들이 청렴과 반부패에 대해 깊이 생각할 수 있는 시간이 됐다""고 말했다.",본문 추출 실패,http://www.dynews.co.kr/news/articleView.html?idxno=796207,,
"청렴, 쉽게 알려요… 콘서트 개최",충청일보,충청일보,발행일 추출 실패,"행위 근절에 대한 특강을 통해 직원들이 청렴과 반부패에 대해 깊이 생각할 수 있는 시간이 됐다""라고 말했다. 시는 올해 청렴 주니어보드, 청렴 콘서트, 맞춤형 청렴 교육, 청렴 골든벨, 간부공무원 청렴도평가, 직장 내 괴롭힘 진단 등 다양한 청렴 시책을 통해 청렴 청주를 만들어나가는 데 온 힘을 기울이고 있다.",본문 추출 실패,https://www.ccdailynews.com/news/articleView.html?idxno=2334673,,
"""제2 오요안나 사건 막으려면 근로자성 사각지대 해소 필요""",매일노동뉴스,매일노동뉴스,,"고 오요안나씨 사건을 계기로 직장내 괴롭힘 금지법(근로기준법 76조의2) 사각지대 문제가 수면 위로 떠오른 가운데, 프리랜서나 특수고용·플랫폼 노동자까지 관련 법을 적용해야 한다는 목소리가 높다. 직장갑질119는 2일 '직장내 괴롭힘 사각지대 해소를 위한 과제' 이슈페이퍼를 발행했다. 22대 국회에서...",본문 추출 실패,http://www.labortoday.co.kr/news/articleView.html?idxno=227153,,
"부산디자인진흥원-부산시인권센터, 인권경영 MOU",국제뉴스,국제뉴스,발행일 추출 실패,"협약을 통해 부산디자인진흥원을 비롯한 협약 기관들은 △인권경영 및 인권교육 활성화 △직장 내 괴롭힘 및 성평등 고충 상담 및 자문 △인권 향상을 위한 정책 제안 및 연구 △기타 상호 발전과 업무 협력 등을 추진하기로 했다. 부산디자인진흥원은 이번 협약을 통해 조직 내 인권 감수성을 높이고, 보다...",본문 추출 실패,https://www.gukjenews.com/news/articleView.html?idxno=3240244,,
"영화의전당, 부산시인권센터·서울문화재단과 업무협약",부산일보,부산일보,2025.04.02 (수),영화의전당은 시인권센터와 협약을 통해 △직장 내 괴롭힘 및 성평등 고충 상담과 자문 △인권 경영 및 교육 활성화 △인권 향상 정책 연구 및 제안 등에 힘쓰기로 했다. 협약식에 이어 ‘영화로 만나는 인권 감수성’ 주제의 교육과 함께 영화 ‘세인트 주디’ 관람도 진행됐다. ‘세인트 주디’는 이슬람...,본문 추출 실패,https://www.busan.com/view/busan/view.php?code=2025040210585324795,,
"부산정보산업진흥원, 부산시인권센터와 ‘인권경영 문화 확산’ 업무협약 체결",CNB뉴스,CNB뉴스,발행일 추출 실패,"협약에 따라 각 기관은 ▲인권경영 및 인권교육 활성화 ▲직장 내 괴롭힘과 성평등 고충 상담 및 자문 ▲인권 향상을 위한 정책 제안 및 연구 ▲기타 상호 발전과 협력 활동 등을 적극 추진하기로 했다. 김태열 부산정보산업진흥원장은 ""인권감수성은 지속가능한 조직 운영의 핵심 가치""라며, ""이번 협약을 계기로...",본문 추출 실패,https://www.cnbnews.com/news/article.html?no=716845,,
